Number of Generations,Best Fitness (Genetic Algorithm High Generation Count),Mean Fitness (Genetic Algorithm High Generation Count),Std Fitness (Genetic Algorithm High Generation Count),Execution Time (Genetic Algorithm High Generation Count),Best Fitness (Genetic Algorithm High Generation Count Bridge),Mean Fitness (Genetic Algorithm High Generation Count Bridge),Std Fitness (Genetic Algorithm High Generation Count Bridge),Execution Time (Genetic Algorithm High Generation Count Bridge)
143,6.182738460386775,4.015783800615167,1.9433239011881553,6768.258715724945,5.977989000489207,3.7122427078228433,2.0153297897645883,7029.968084859848
144,6.182738460386775,4.458285331299267,1.795811382235088,6768.258715724945,5.984490951261556,3.6000566705145745,2.1297736251303587,7029.968084859848
145,6.1907515013373144,4.008002062145099,2.178511733373784,6768.258715724945,5.984676899290939,3.6798934112516846,2.052632537027568,7029.968084859848
146,6.1907515013373144,4.07568640318687,2.015037074454881,6768.258715724945,5.99483697882278,3.6355202814245153,2.0896986605302197,7029.968084859848
147,6.1907515013373144,4.10400412024958,2.030138917160319,6768.258715724945,5.99483697882278,3.406434874258527,2.0446371837762936,7029.968084859848
148,6.1907515013373144,3.913851767789167,2.05862054908954,6768.258715724945,5.99483697882278,3.714205048862179,1.8696953631129758,7029.968084859848
149,6.1907515013373144,3.9828613643466126,2.09569422832734,6768.258715724945,5.99483697882278,3.5996165453159072,1.9722473894295312,7029.968084859848
150,6.1907515013373144,4.216460604427237,1.997157583625643,6768.258715724945,5.99483697882278,3.486551523315312,2.0297772646116146,7029.968084859848
151,6.1907515013373144,4.398416416145529,1.856999810499928,6768.258715724945,5.99483697882278,3.6731357308755186,1.9940881483424597,7029.968084859848
152,6.1907515013373144,4.251948602385489,2.078490255181569,6768.258715724945,5.99483697882278,3.649756647831629,2.0430328485483225,7029.968084859848
153,6.1907515013373144,4.2694443297519635,1.8442931578987765,6768.258715724945,5.99483697882278,3.784038388300322,1.780891890678276,7029.968084859848
154,6.1907515013373144,4.37830228857778,1.8308230356967883,6768.258715724945,5.99483697882278,3.5647306364281293,2.052792936761411,7029.968084859848
155,6.1907515013373144,4.004710988921734,2.1539997267159445,6768.258715724945,5.99483697882278,3.6563761912416255,1.9760252417537258,7029.968084859848
156,6.1907515013373144,4.520768976900429,1.7922883180079225,6768.258715724945,5.99483697882278,3.8211359320011455,2.07564379296416,7029.968084859848
157,6.1907515013373144,4.272651495591786,2.2416298110444712,6768.258715724945,5.99483697882278,3.6363293866333835,2.2619808269005737,7029.968084859848
158,6.1907515013373144,4.016192319938681,2.1667941980721332,6768.258715724945,5.99483697882278,3.7289990603649885,2.061146309525641,7029.968084859848
159,6.1907515013373144,3.9602067826195992,2.0058464510072866,6768.258715724945,5.99483697882278,3.7680717441117686,2.1781560447877752,7029.968084859848
160,6.1907515013373144,3.8751142215602052,2.1567079564598433,6768.258715724945,5.99483697882278,3.8483651419359015,2.035383505546302,7029.968084859848
161,6.1907515013373144,3.9572981536647127,2.1151780362747292,6768.258715724945,5.99483697882278,3.598082840553932,2.03969539848815,7029.968084859848
162,6.210530078199016,4.091804985690399,2.0089564051905024,6768.258715724945,5.99483697882278,3.553064930188186,1.9482531037524367,7029.968084859848
163,6.210530078199016,4.214533478457006,2.122360147008982,6768.258715724945,5.99483697882278,3.768950263827771,2.0444225434952332,7029.968084859848
164,6.210530078199016,3.9509139209309994,2.2033680441979855,6768.258715724945,5.99483697882278,3.8708222010091204,1.970561536552029,7029.968084859848
165,6.210530078199016,3.8823971480635526,2.1716592522812963,6768.258715724945,5.99483697882278,3.6650357721097655,1.9649486734311097,7029.968084859848
166,6.210530078199016,3.9781856121659516,2.0562134177191145,6768.258715724945,5.99483697882278,3.4337030188709092,1.9667750358479694,7029.968084859848
167,6.210530078199016,4.064814238110254,2.0373557623771097,6768.258715724945,5.99483697882278,3.566019924776505,2.028892956992849,7029.968084859848
168,6.210530078199016,3.926358664551819,2.286005535217518,6768.258715724945,5.99483697882278,3.8375407353626785,1.9570983482083204,7029.968084859848
169,6.210530078199016,4.176356344834117,2.15755376184937,6768.258715724945,5.99483697882278,3.4763287887063052,2.210611360212784,7029.968084859848
170,6.210530078199016,4.029136818015467,2.0266197828684183,6768.258715724945,5.99483697882278,3.568663903014893,1.9605214097748505,7029.968084859848
